artists,track_name,id,uri,track_href,analysis_url,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Đan Trường,Dòng Đời Trôi Mãi,0LCdy6CY0MwpQbHo7tC1h2,spotify:track:0LCdy6CY0MwpQbHo7tC1h2,https://api.spotify.com/v1/tracks/0LCdy6CY0MwpQbHo7tC1h2,https://api.spotify.com/v1/audio-analysis/0LCdy6CY0MwpQbHo7tC1h2,0,0.569,0.426,0,-7.809,1,0.0301,0.316,0.0,0.092,0.192,108.042,303386,4
Đan Trường,Bài Hát Cuối,03WHOpIEzMp7G92VrTdgkX,spotify:track:03WHOpIEzMp7G92VrTdgkX,https://api.spotify.com/v1/tracks/03WHOpIEzMp7G92VrTdgkX,https://api.spotify.com/v1/audio-analysis/03WHOpIEzMp7G92VrTdgkX,0,0.556,0.465,7,-5.6739999999999995,1,0.0297,0.475,0.000128,0.151,0.337,89.985,224183,4
Đan Trường,Ngôi Sao Bay,33CdLvPiwhwbnwqVAIVe5M,spotify:track:33CdLvPiwhwbnwqVAIVe5M,https://api.spotify.com/v1/tracks/33CdLvPiwhwbnwqVAIVe5M,https://api.spotify.com/v1/audio-analysis/33CdLvPiwhwbnwqVAIVe5M,0,0.584,0.537,0,-5.841,1,0.0256,0.21600000000000003,0.0,0.122,0.252,107.978,326592,4
Cẩm Ly and Đan Trường,Em Là Hạnh Phúc Đời Anh,0zACnO1ii7x4OLTItffTBg,spotify:track:0zACnO1ii7x4OLTItffTBg,https://api.spotify.com/v1/tracks/0zACnO1ii7x4OLTItffTBg,https://api.spotify.com/v1/audio-analysis/0zACnO1ii7x4OLTItffTBg,0,0.627,0.5920000000000001,10,-6.032,1,0.0275,0.204,0.0,0.122,0.32299999999999995,114.04299999999999,233784,4
Đan Trường,Mãi Cho Em Mùa Xuân,2vbqhaASsAwy9AWsCGSV7B,spotify:track:2vbqhaASsAwy9AWsCGSV7B,https://api.spotify.com/v1/tracks/2vbqhaASsAwy9AWsCGSV7B,https://api.spotify.com/v1/audio-analysis/2vbqhaASsAwy9AWsCGSV7B,0,0.79,0.902,11,-6.778,1,0.0882,0.106,3.8e-06,0.212,0.695,100.065,288192,4
Đan Trường,Khóc Thầm,7vx4D09YflXaVG4aSUWwVW,spotify:track:7vx4D09YflXaVG4aSUWwVW,https://api.spotify.com/v1/tracks/7vx4D09YflXaVG4aSUWwVW,https://api.spotify.com/v1/audio-analysis/7vx4D09YflXaVG4aSUWwVW,0,0.54,0.604,4,-5.787999999999999,0,0.0554,0.736,0.0,0.222,0.33899999999999997,150.576,272327,3
Đan Trường and Cẩm Ly,Ước Mơ Ngọt Ngào,1q3RyY1TCp5sObsbkh85di,spotify:track:1q3RyY1TCp5sObsbkh85di,https://api.spotify.com/v1/tracks/1q3RyY1TCp5sObsbkh85di,https://api.spotify.com/v1/audio-analysis/1q3RyY1TCp5sObsbkh85di,0,0.598,0.645,11,-7.223,1,0.0398,0.59,0.0,0.162,0.413,139.81799999999998,249443,4
Đan Trường,Tìm Dấu Yêu Xưa,2h6JnvFGjhmHi8hVwesA4m,spotify:track:2h6JnvFGjhmHi8hVwesA4m,https://api.spotify.com/v1/tracks/2h6JnvFGjhmHi8hVwesA4m,https://api.spotify.com/v1/audio-analysis/2h6JnvFGjhmHi8hVwesA4m,0,0.667,0.595,9,-9.298,1,0.0413,0.0734,1.25e-05,0.0722,0.43,139.072,298789,4
Đàm Vĩnh Hưng,Ngày Đó Tôi Yêu Em,5Z0cShPzgVBywRyiuLu3BY,spotify:track:5Z0cShPzgVBywRyiuLu3BY,https://api.spotify.com/v1/tracks/5Z0cShPzgVBywRyiuLu3BY,https://api.spotify.com/v1/audio-analysis/5Z0cShPzgVBywRyiuLu3BY,0,0.64,0.7,8,-7.365,0,0.0342,0.542,0.0,0.0561,0.513,126.05,264840,4
Đan Trường,Rêu Phong,7EKgqv4QU5s5s4ZbtfnUbX,spotify:track:7EKgqv4QU5s5s4ZbtfnUbX,https://api.spotify.com/v1/tracks/7EKgqv4QU5s5s4ZbtfnUbX,https://api.spotify.com/v1/audio-analysis/7EKgqv4QU5s5s4ZbtfnUbX,0,0.54,0.68,0,-8.773,1,0.0369,0.146,1.09e-06,0.10300000000000001,0.659,172.14,339853,4
Cẩm Ly and Đan Trường,Tình Hồng Như Mơ,00TLmtafGSEMc51W8XFBIO,spotify:track:00TLmtafGSEMc51W8XFBIO,https://api.spotify.com/v1/tracks/00TLmtafGSEMc51W8XFBIO,https://api.spotify.com/v1/audio-analysis/00TLmtafGSEMc51W8XFBIO,0,0.62,0.77,2,-4.677,1,0.0348,0.7709999999999999,0.0,0.115,0.303,122.988,293112,4
Phương Thanh,Dối Trá,0ham98C66BCSfaCee6UEwL,spotify:track:0ham98C66BCSfaCee6UEwL,https://api.spotify.com/v1/tracks/0ham98C66BCSfaCee6UEwL,https://api.spotify.com/v1/audio-analysis/0ham98C66BCSfaCee6UEwL,0,0.43200000000000005,0.38299999999999995,9,-8.298,0,0.0295,0.6409999999999999,0.0217,0.131,0.213,130.555,303882,4
Lam Truong,Chúc phúc,2VtwwmJgXy5CzC0mDt1GO0,spotify:track:2VtwwmJgXy5CzC0mDt1GO0,https://api.spotify.com/v1/tracks/2VtwwmJgXy5CzC0mDt1GO0,https://api.spotify.com/v1/audio-analysis/2VtwwmJgXy5CzC0mDt1GO0,0,0.312,0.095,3,-18.49,1,0.0352,0.826,2.22e-06,0.157,0.16399999999999998,69.14699999999999,277787,4
Lam Truong,Tình là nửa đời,7CVzNX8cLFAuFT9zrnJO8J,spotify:track:7CVzNX8cLFAuFT9zrnJO8J,https://api.spotify.com/v1/tracks/7CVzNX8cLFAuFT9zrnJO8J,https://api.spotify.com/v1/audio-analysis/7CVzNX8cLFAuFT9zrnJO8J,0,0.545,0.38799999999999996,2,-16.71,0,0.0347,0.39,0.0,0.193,0.39,93.839,258067,4
Lê Hiếu,Vì Em Yêu Anh,1nrkiuCUG9fGsRtVDO1ePm,spotify:track:1nrkiuCUG9fGsRtVDO1ePm,https://api.spotify.com/v1/tracks/1nrkiuCUG9fGsRtVDO1ePm,https://api.spotify.com/v1/audio-analysis/1nrkiuCUG9fGsRtVDO1ePm,0,0.64,0.39799999999999996,4,-10.103,0,0.0329,0.395,0.0,0.0981,0.134,133.94,283704,4
Châu Khải Phong,Ngắm Hoa Lệ Rơi,38YSSiJH5KgpcFsqCgGSEa,spotify:track:38YSSiJH5KgpcFsqCgGSEa,https://api.spotify.com/v1/tracks/38YSSiJH5KgpcFsqCgGSEa,https://api.spotify.com/v1/audio-analysis/38YSSiJH5KgpcFsqCgGSEa,0,0.62,0.47200000000000003,6,-6.69,0,0.0257,0.696,4.74e-06,0.0852,0.43,96.03399999999999,310047,4
Lam Truong,Mai đây,45DYScVsYoiM752ZStYkFa,spotify:track:45DYScVsYoiM752ZStYkFa,https://api.spotify.com/v1/tracks/45DYScVsYoiM752ZStYkFa,https://api.spotify.com/v1/audio-analysis/45DYScVsYoiM752ZStYkFa,0,0.594,0.473,2,-16.413,1,0.0313,0.0188,0.0,0.0994,0.631,81.817,248000,4
Lam Truong,Người yêu hỡi,7JQQ0xtHBzXuASC649lOgW,spotify:track:7JQQ0xtHBzXuASC649lOgW,https://api.spotify.com/v1/tracks/7JQQ0xtHBzXuASC649lOgW,https://api.spotify.com/v1/audio-analysis/7JQQ0xtHBzXuASC649lOgW,0,0.607,0.8079999999999999,6,-14.767000000000001,1,0.0968,0.0282,0.0,0.077,0.381,99.03299999999999,259293,4
Chau Dang Khoa and Hoaprox,Người Lạ Ơi - Hoaprox Remix,781JPAiOXdTwvueWI1iJky,spotify:track:781JPAiOXdTwvueWI1iJky,https://api.spotify.com/v1/tracks/781JPAiOXdTwvueWI1iJky,https://api.spotify.com/v1/audio-analysis/781JPAiOXdTwvueWI1iJky,0,0.611,0.871,6,-5.417999999999999,0,0.0389,0.007379999999999999,0.000138,0.4,0.5660000000000001,144.937,271466,4
